,tx_id,smb.command,smb.status,smb.named_pipe,smb.function,smb.dcerpc.endpoint,smb.disposition,smb.filename
109,22,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,BaseRegEnumKey,,
107,23,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,BaseRegEnumKey,,
108,24,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,BaseRegEnumKey,,
100,25,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,BaseRegEnumKey,,
101,26,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,BaseRegCloseKey,,
104,27,SMB2_COMMAND_CLOSE,STATUS_SUCCESS,,,,,
99,28,SMB2_COMMAND_CREATE,STATUS_SUCCESS,,,,FILE_OPEN,lsarpc
102,29,SMB2_COMMAND_WRITE,STATUS_SUCCESS,,,,,
103,30,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,,,
106,31,SMB2_COMMAND_CLOSE,STATUS_SUCCESS,,,,,
105,32,SMB2_COMMAND_CREATE,STATUS_SUCCESS,,,,FILE_OPEN,lsarpc
96,33,SMB2_COMMAND_WRITE,STATUS_SUCCESS,,,,,
97,34,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,LsarOpenPolicy2,,
98,35,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,LsarQueryInformationPolicy,,
91,36,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,LsarEnumerateAccountsWithUserRight,,
93,37,SMB2_COMMAND_CREATE,STATUS_SUCCESS,,,,FILE_OPEN,samr
95,38,SMB2_COMMAND_WRITE,STATUS_SUCCESS,,,,,
94,39,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,SamrConnect5,,
92,40,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,SamrEnumerateDomainsInSamServer,,
90,41,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,SamrLookupDomainInSamServer,,
89,42,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,SamrOpenDomain,,
132,43,SMB2_COMMAND_IOCTL,,,,SamrEnumerateAliasesInDomain,,
134,44,SMB2_COMMAND_READ,STATUS_SUCCESS,,,,,
133,45,SMB2_COMMAND_IOCTL,,,,SamrOpenAlias,,
136,46,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,,,
88,47,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,SamrGetMembersInAlias,,
86,48,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,SamrOpenAlias,,
87,49,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,SamrGetMembersInAlias,,
84,50,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,SamrOpenAlias,,
82,51,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,SamrGetMembersInAlias,,
83,52,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,SamrOpenAlias,,
85,53,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,SamrGetMembersInAlias,,
79,54,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,SamrOpenAlias,,
80,55,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,SamrGetMembersInAlias,,
77,56,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,SamrOpenAlias,,
78,57,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,SamrGetMembersInAlias,,
74,58,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,SamrOpenAlias,,
75,59,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,SamrGetMembersInAlias,,
81,60,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,SamrOpenAlias,,
76,61,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,SamrGetMembersInAlias,,
69,62,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,SamrOpenAlias,,
71,63,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,SamrGetMembersInAlias,,
73,64,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,SamrOpenAlias,,
72,65,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,SamrGetMembersInAlias,,
70,66,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,SamrOpenAlias,,
68,67,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,SamrGetMembersInAlias,,
65,68,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,SamrOpenAlias,,
66,69,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,SamrGetMembersInAlias,,
67,70,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,SamrOpenAlias,,
64,71,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,SamrGetMembersInAlias,,
59,72,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,SamrOpenAlias,,
61,73,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,SamrGetMembersInAlias,,
60,74,SMB2_COMMAND_IOCTL,STATUS_SUCCESS,,,SamrOpenAlias,,
